
SKU		Product Name	Categories						

100342	Ajwain, 	Ground		Exotic		Asian						Middle Eastern	African	Indian		
100223	Allspice 	Berries, 	Jamaican	Seeds & Berries	Caribbean	American	North African	Brewing Spices		
100222	Allspice 	Jamaican, 	Ground		Seeds & Berries	Caribbean	American	North African	Brewing Spices		
100919	Allspice 	Berries, 	Mexican 	Seeds & Berries	Mexican	American	North African	Brewing Spices		
100921	Allspice, 	Mexican, Ground	Seeds & Berries	Mexican	American	North African	Brewing Spices		
100795	Almond Meal 	Baking	American					
100343	Amchur, Ground	Exotic	Indian					
100413	Anise Seed	Seeds & Berries	European	Indian				
100172	Annato Seed	Seeds & Berries	Caribbean	Mexican	South American			
100709	Anatto, Ground	Seeds & Berries	Caribbean	Mexican	South American			
100119	Arrowroot Powder	Baking						
100175	Asafoetida Powder	Exotic	Indian					
100111	Black Peppercorns	Peppercorns	Pepper	Brewing Spices				
100165	Black Peppercorns, Tellicherry	Peppercorns	Pepper	Brewing Spices				
100134	Black Pepper, Coarse Grind	Pepper						
100263	Black Pepper, Cracked Grind	Pepper						
100845	Black Pepper, Fine Grind	Pepper						
100109	Black Pepper, Medium Grind	Pepper						
100603	Black Pepper, Smoked Bourbon Barrel	Pepper						
100363	Cacao Nibs	Baking	Mexican	South American	Superfood			
100155	Caraway Seeds	Seeds & Berries	Scandinavian	German	Italian	Hungarian		
100871	Caraway, Ground	Ground Spices	Scandinavian	German	Italian	Hungarian		
100365	Cardamom Pods, Black	Exotic	Indian					
100682	Cardamom Pods, Green	Seeds & Berries	Indian	European	Middle Eastern	Scandinavian	Brewing Spices	
100221	Cardamom Seeds	Seeds & Berries	Indian	European	Middle Eastern	Scandinavian	Brewing Spices	
100220	Cardamom, Ground	Ground Spices	Indian	European	Middle Eastern	Scandinavian	Brewing Spices	
100157	Celery Seed	Seeds & Berries						
100707	Celery Seed, Ground	Ground Spices						
100379	Cinnamon Chips, Cassia	Cinnamon						
100103	Cinnamon Powder, Korintje	Cinnamon						
100130	Cinnamon Sticks, Cassia (2.75")	Cinnamon						
100257	Cinnamon Sticks, Ceylon (3")	Cinnamon						
100454	Cinnamon Sticks, Vietnamese (4")	Cinnamon						
100183	Citric Acid	Baking						
100488	Cloves, Whole (Indonesian)	Baking	Chinese	European	Indian	Russian	Mexican	
100189	Cloves, Ground	Baking	Chinese	European	Indian	Russian	Mexican	
100749	Coriander Seed, Indian	Seeds & Berries	Brewing Spices					
100225	Coriander Seed	Seeds & Berries	European	Indian	Middle Eastern	African	Brewing Spices	
100150	Coriander, Ground	Ground Spices	European	Indian	Middle Eastern	African	Brewing Spices	
100487	Coconut Shredded Unsweetened	Baking						
100132	Cream of Tartar	Baking						
100467	Cubeb Berries	Exotic	African					
100807	Cumin Seed, Black	Seeds & Berries	African	Indian	Middle Eastern			
100164	Cumin Seed	Seeds & Berries	African	Asian	Latin American	Mexican	Brewing Spices	
100104	Cumin, Ground	Ground Spices	African	Asian	Latin American	Mexican	Brewing Spices	
100770	Curing Salt, Prague Powder #1	Sausage Spices						
100895	Curing Salt, Prague Powder #2	Sausage Spices						
100411	Dill Seed	Seeds & Berries	German	Indian	Russian	Scandinavian		
100722	Fennel Pollen	Exotic	Italian					
100140	Fennel Seed	Seeds & Berries	Mediterranean	European	Middle Eastern	Asian	Indian	
100705	Fennel, Ground	Ground Spices	Mediterranean	European	Middle Eastern	Asian	Indian	
100792	Fennel, Cracked	Ground Spices	Mediterranean	European	Middle Eastern	Asian	Indian	
100484	Fenugreek Seed	Seeds & Berries	Indian	Middle Eastern				
100618	Fenugreek, Ground	Ground Spices	Indian	Middle Eastern				
100171	File Powder	Ground Spices						
100102	Garlic, Granulated, Domestic	Garlic	South American	Chinese	Indian	Mediterranean	Mexican	
100690	Garlic, Granulated, Roasted, Domestic	Garlic	South American	Chinese	Indian	Mediterranean	Mexican	
100153	Garlic, Minced, Toasted, Domestic	Garlic	South American	Chinese	Indian	Mediterranean	Mexican	
100117	Garlic Powder, Domestic	Garlic	South American	Chinese	Indian	Mediterranean	Mexican	
100115	Ginger, Crystallized	Baking	Indian	European				
100121	Ginger, Ground	Ground Spices	Chinese	Korean	Japanese	Vietnamese	Southeastern Asia	
100170	Grains of Paradise	Exotic	African	European	Brewing Spices			
100759	Grains of Paradise, Ground New	Ground Spices	African	European				
100909	Grapefruit Peel, Domestic	Citrus	Brewing Spices					
100211	Green Peppercorns	Peppercorns						
100391	Honey, Granulated	Baking						
100437	Horseradish Powder	Exotic						
100346	Juniper Berries	Seeds & Berries	American	European	German	Brewing Spices		
100180	Lemon Peel, Domestic	Citrus	Brewing Spices					
100372	Lime Peel Coarse, Domestic	Citrus	Brewing Spices					
100347	Long Pepper	Exotic	African	Indian	Mediterranean			
100492	Mace, Ground	Ground Spices	European	Southeastern Asian	Indian	Middle Eastern		
100784	Molasses, Granulated	Baking						
100481	Mustard Seed, Black	Exotic	Indian					
100497	Mustard Seed, Brown	Seeds & Berries	Indian	European	African			
100706	Mustard, Brown, Ground	Ground Spices	Indian	European	African			
100929	Mustard Seed, Oriental	Seeds & Berries	Chinese	Asian				
100260	Mustard, Chinese, Ground	Ground Spices	Chinese	Asian				
100496	Mustard Seed, Yellow	Seeds & Berries	American	European	Caribbean			
100148	Mustard, Yellow, Ground	Ground Spices	American	European	Caribbean			
100215	Nutmeg	Seeds & Berries	Asian	European	Middle Eastern	African	Caribbean	
100136	Nutmeg, Ground	Ground Spices	Asian	European	Middle Eastern	African	Caribbean	
100344	Nigella Seeds	Exotic	Indian	Middle Eastern				
100149	Onion, Granulated	Onion	African	European	Japanese	Russian		
100778	Onion, Granulated, Toasted	Onion	African	European	Japanese	Russian		
100261	Onion, Minced	Onion	African	European	Japanese	Russian		
100731	Onion, Minced, Toasted	Onion	African	European	Japanese	Russian		
100151	Onion, Powder	Onion	African	European	Japanese	Russian		
100689	Onion, Powder, Toasted	Onion	African	European	Japanese	Russian		
100350	Orange Peel, Domestic	Citrus	African	European	Japanese	Russian	Brewing Spices	
100212	Pink Peppercorns	Peppercorns	South American					
100139	Poppy Seed, Dutch	Seeds & Berries	Mediterranean	Indian	European	Japanese		
100185	Saffron (1 gram/ 1 oz)	Exotic						
100601	Sesame Seed, Black	Exotic	Japanese	Chinese				
100228	Sesame Seed, Toasted	Seeds & Berries	Chinese	Middle Eastern	Japanese			
100213	Sichuan Peppercorns	Peppercorns	Chinese	Japanese	Asian			
100760	Sichuan, Ground	Ground Spices	Chinese	Japanese	Asian			
100187	Star Anise	Baking	Chinese	Vietnamese	Middle Eastern			
100679	Star Anise, Ground	Ground Spices	Chinese	Vietnamese	Middle Eastern			
100829	Sugar, Brown	Baking						
100809	Sugar, Demerara	Baking						
100815	Sugar, Maple	Baking						
100296	Sumac	Exotic	Middle Eastern					
100930	Tamarind, Ground	Exotic	Asian	Indian	Latin American			
100915	Tangerine Peel, Domestic	Citrus	Brewing Spices					
100730	Tomatillo Powder	Mexican	Exotic					
100118	Turmeric, Ground	Ground Spices	Indian	Middle Eastern				
100292	Vanilla Beans, Madagascar	Vanilla	Brewing Spices					
100244	Vanilla Extract, Madagascar (Single-Fold)	Vanilla						
100178	Wasabi Powder	Exotic						
100214	White Peppercorns	Peppercorns	European					

Herbs

SKU	Product Name	Categories						
100742	Avocado Leaves	Exotic	Mexican					
100152	Basil	Italian	Mediterranean	Chinese	Asian			
100491	Basil, Domestic	Italian	Mediterranean	Chinese	Asian			
100231	Bay Leaves	African	Middle Eastern	European				
100670	Bay Leaves, Ground	African	Middle Eastern	European				
100418	Chervil	European						
100188	Chives							
100386	Cilantro	Mexican						
100602	Dill Weed	Asian	Indian	European				
100633	Fenugreek Leaves	Exotic	Indian	Middle Eastern				
100734	Kaffir Lime Leaves	Exotic	Asian					
100924	Kaffir Lime, Ground New (1/23)	Exotic	Asian					
100609	Lavender	European	African					
100892	Lemon Grass Powder	Asian						
100179	Marjoram Leaf	European	African	Middle Eastern				
100917	Marjoram, Ground	European	African	Middle Eastern				
100145	Mediterranean Oregano	Mediterranean	Middle Eastern					
100866	Mediterranean Oregano, Ground	Mediterranean	Middle Eastern					
100259	Mexican Oregano	Mexican	Latin American					
100227	Parsley	Middle Eastern	European					
100466	Rose Petals	Exotic	Middle Eastern					
100218	Rosemary	Mediterranean						
100703	Rosemary, Ground	Mediterranean						
100675	Sage, Cut/Sifted	European	Mediterranean					
100385	Sage, Rubbed	European	Mediterranean					
100229	Savory, Summer	Mediterranean						
100219	Tarragon	Mediterranean						
100137	Thyme	European	Middle Eastern	Caribbean				
100704	Thyme, Ground	European	Middle Eastern	Caribbean				

Organics

SKU		Product Name		Categories						
300606	Allspice Berries, 	Organic	Seeds & Berries	Mexican	American	African			
300445	Allspice, Ground, 	Organic	Ground Spices	Mexican	American	African			
300337	Ancho Powder, 		Organic	Chile Powder	Mexican					
300918	Basil, Ground, 		Organic	Herbs	Italian	Mediterranean	Chinese	Asian		
300141	Basil, 				Organic	Herbs	Italian	Mediterranean	Chinese	Asian		
300939	Bay Leaves, 		Organic	African	Middle Eastern	European				
300166	Black Pepper, 		Coarse Grind, Organic	Pepper						
300263	Black Pepper, 		Cracked Grind, Organic	Pepper						
300845	Black Pepper, 		Fine Grind, Organic	Pepper						
300123	Black Pepper, 		Medium Grind, Organic	Pepper						
300101	Black Peppercorns, 	Organic	Peppercorns						
300210	Cacao Powder, 		Organic	Baking	Mexican	Superfood				
300941	Cardamom Seeds, 	Organic	Seeds & Berries	Indian	European	Middle Eastern	Scandinavian	Brewing Spices	
300942	Cardamom Seed, 		Ground, Organic	Seeds & Berries	Indian	European	Middle Eastern	Scandinavian	Brewing Spices	
300135	Cayenne, Ground, 	Organic	Chile Powder	South American	Asian	African			
300938	Celery Seed, Ground, Organic	Seeds & Berries						
300931	Celery Seed, Organic	Seeds & Berries						
300468	Cinnamon Powder, Ceylon, Organic	Ground Spices	Mexican	European	Latin American			
300946	Cinnamon Powder, Korintje, Organic	Cinnamon						
300256	Cinnamon Powder, Vietnamese, Organic	Ground Spices	Asian	Brewing Spices				
300604	Coriander Seed, Organic	Seeds & Berries	European	Indian				
300147	Coriander, Ground, Organic	Ground Spices	European	Indian				
300142	Cumin Seed, Organic	Seeds & Berries	African	Asian	Latin American			
300105	Cumin, Ground, Organic	Ground Spices	African	Asian	Latin American			
300676	Curry Leaves, Organic	Exotic	Indian	Asian	African			
300368	Epazote, Organic	Herbs	Mexican	Latin American				
300934	Fennel Pollen, Organic	Exotic	Mediterranean					
300133	Fennel Seed, Organic	Seeds & Berries	Mediterranean	European	Middle Eastern	Asian	Indian	
300932	Fennel Seed, Cracked, Organic	Ground Spices	Mediterranean	European	Middle Eastern	Asian	Indian	
300940	Fennel Seed, Ground, Organic	Ground Spices	Mediterranean	European	Middle Eastern	Asian	Indian	
300122	Ginger, Ground, Organic	Ground Spices	Chinese	Korean	Japanese			
300944	Garlic, Flakes, Organic	Garlic	South American	Chinese	Indian			
300107	Garlic, Granulated, Organic	Garlic	South American	Chinese	Indian			
300943	Garlic, Granulated, Powder	Garlic	South American	Chinese	Indian			
300935	Miso, Red, Organic	Japanese						
300144	Mustard Seed, Yellow, Organic	Seeds & Berries	American	European				
300159	Mustard, Yellow, Ground, Organic	Ground Spices	American	European				
300637	Onion, Granulated, Organic	Ground Spices	African	European	Japanese			
300928	Onion, Minced, Organic	Onion	African	European	Japanese	Russian		
300126	Oregano, Mediterranean, Organic	Herbs	Mediterranean	Middle Eastern				
300116	Paprika, Domestic, Organic	Spices	American					
300251	Red Pepper Flakes, Organic	Chile Flakes	American	African	Chinese	Mexican		
300446	Rosemary, Organic	Herbs	Mediterranean					
300163	Thyme, Organic	Herbs	European	Middle Eastern	Caribbean			
300110	Turmeric, Ground, Organic	Ground Spices	Indian	Middle Eastern				

Dried Chiles

SKU	Product Name	Categories						
100710	African Birdseye, Ground	Chile Powder	African					
100753	Aji Amarillo Chile Powder	Chile Powder	South American					
100635	Aji Panca	Whole Chiles	South American					
100450	Aleppo Pepper	Chile Flakes	Middle Eastern					
100387	Amarillo Aji Chile	Whole Chiles	South American					
100232	Ancho Chile	Whole Chiles	Mexican					
100337	Ancho Powder	Chile Powder	Mexican				
100250	Birdseye Chiles	Whole Chiles	African					
100345	Anaheim Chiles	Whole Chiles	American					
100782	Carolina Reaper Chile Flakes	Chile Flakes						
100366	Cascabel Chiles	Whole Chiles	Mexican					
100131	Cayenne Pepper (30K)	Chile Powder	South American	Asian	African			
100106	Cayenne Pepper (90K)	Chile Powder	South American	Asian	African			
100812	Chile Threads	Chile Flakes	Asian					
100857	Chiltepin Chiles	Whole Chiles	Mexican					
100901	Chimayo Chile Powder	Chile Powder	American					
100410	Chipotle "Meco" Chiles	Whole Chiles	Mexican					
100678	Chipotle "Meco" Powder	Chile Powder	Mexican					
100226	Chipotle "Morita" Powder	Chile Powder	Mexican					
100169	Chipotle "Morita" Chiles	Whole Chiles	Mexican					
100416	Chipotle Morita Flakes	Chile Flakes	Mexican					
100933	Costeno Rojo Chiles	Whole Chiles	Mexican					
100367	De Arbol Chile Powder	Chile Powder	Mexican					
100383	De Arbol Chiles	Whole Chiles	Mexican					
100425	Ghost Chiles	Whole Chiles						
100669	Ghost Powder	Chile Powder						
100799	Guajillo Chile Flakes	Chile Flakes	Mexican					
100369	Guajillo Chile Powder	Chile Powder	Mexican					
100340	Guajillo Chiles	Whole Chiles	Mexican					
100351	Habanero Chile Powder	Chile Powder	Mexican					
100236	Habanero Chile Flakes	Chile Flakes	Mexican					
100235	Habanero Chiles	Whole Chiles	Mexican					
100783	Habanero Chiles, Chocolate	Whole Chiles	Mexican					
100112	Hungarian Paprika	Chile Powder	European					
100698	Jalapeno Flakes	Chile Flakes	Mexican					
100626	Jalapeno Powder	Chile Powder	Mexican					
100664	Japones Chile, Whole, De-Stemmed	Whole Chiles	Mexican					
100908	Kashmiri Chiles	Whole Chiles	Indian					
100610	Korean Chili Flakes	Chile Flakes	Asian					
100613	Maras Pepper, Crushed	Chile Flakes	Middle Eastern					
